781	2
1187	4
868	2
264	1
403	0
466	2
988	1
53	3
834	0
316	2
312	3
760	3
390	0
318	1
1134	0
1019	0
224	3
474	3
88	4
600	4
145	0
197	4
712	2
663	3
613	1
1032	0
212	3
438	0
1088	4
380	0
302	2
787	4
768	1
858	2
887	0
572	4
699	4
910	4
367	0
1023	4
313	0
232	1
277	0
97	4
871	0
757	2
1120	0
229	4
590	1
1026	4
523	0
425	2
131	3
432	2
646	0
256	4
771	0
281	4
16	0
946	4
31	4
453	0
900	0
158	0
247	0
803	4
531	2
681	2
328	0
775	4
1045	0
588	3
959	0
743	1
1142	1
1107	4
9	0
551	1
75	0
284	2
578	2
413	0
166	4
315	0
1183	1
406	3
437	4
1153	3
536	4
808	4
198	2
63	4
314	4
961	0
503	3
637	3
496	4
933	0
692	4
236	2
319	4
960	0
671	0
519	0
329	0
4	3
73	4
357	1
888	4
801	2
1052	4
1192	2
71	0
800	4
33	0
287	3
282	4
54	3
217	0
679	0
802	0
767	0
1070	4
115	4
1131	0
86	2
67	4
188	0
780	2
267	0
1021	2
135	2
291	3
633	0
539	0
222	0
207	2
506	3
510	4
1006	0
867	0
62	0
117	4
614	1
265	4
691	4
219	4
255	3
724	2
546	3
737	1
1075	3
813	0
972	3
831	0
153	1
1099	0
1136	0
419	0
296	4
56	3
32	1
883	1
142	1
116	2
1057	0
205	4
1118	3
889	2
443	1
107	4
1004	0
25	0
308	2
5	2
865	3
632	4
569	2
340	0
220	0
359	4
1193	4
617	1
490	0
825	1
1065	3
451	4
1043	2
1047	0
299	3
1067	3
1190	3
999	2
997	1
552	0
806	2
1071	0
1119	0
863	4
34	4
824	2
525	0
105	0
526	2
420	0
307	0
674	2
414	4
547	0
50	3
1166	0
764	4
942	1
623	0
1103	0
152	3
1177	4
353	4
1060	2
1125	4
917	0
522	3
1015	3
320	3
402	3
149	1
763	0
639	4
1132	4
343	2
586	0
148	0
47	0
659	0
226	0
227	0
389	4
408	0
1185	0
1133	4
146	0
170	4
19	3
183	2
498	2
187	4
365	1
244	0
1059	0
624	0
929	3
1046	2
181	0
1122	0
930	1
532	2
448	4
1165	0
82	0
1028	4
796	0
210	0
952	0
326	2
1033	0
139	2
1097	0
13	4
512	0
20	4
703	2
483	4
520	3
562	1
509	3
292	0
351	2
581	1
1005	0
818	4
361	3
605	3
1130	2
1049	1
491	1
383	1
494	3
290	3
734	0
958	2
40	4
377	3
661	3
79	0
710	1
650	0
916	0
811	0
1040	4
1027	4
604	0
807	0
487	4
934	4
610	4
